Count,Item,format,Excluded,poly,recode,collapse,Max_poss,y1_post,y2_pre,y2_post,matrix1,matrix2,marix3,matrix4,matrix5,matrix6,matrix7,matrix8,CUJK,CUKK,JHU,Metro,STMU,UCD,UGA,cl1,cl2,cl3,cl4,cl5,cl6,cl7,cl8,cl9,cl10,cl11,cl12,cl13pre,cl13pos,cl14pre,cl14pos,cl15pre,cl17,cl18pre,cl18pos,cl19pre,cl19pos,cl20,P_learn_1,P-learn_2,sec_learn,Blooms level,Blooms weight,Max exam,Mx mc/tf
34,cl10_me2_40,SA,0,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,3,24,8,8
35,cl10_me3_mc12,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,3,6,2,1
36,cl10_me3_sa7,MC,0,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,,,3,6,2,1
37,cl10_me3_tf2,SA,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,3,42,14,14
38,cl10_me4_mc17,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,,,1,2,2,1
39,cl10_me4_sa1,MC,1,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,2,4,2,1
40,cl10_me4_sa4,SA,1,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,4,60,15,15
41,cl10_me4_sa6,SA,0,1,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,,6,4,52,13,13
42,cl10_me4_tf1,SA,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,2,8,4,4
43,cl10_me5_mc29,TF,0,0,0,0,,1,"see matrix 7, 8","see matrix 7, 8",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,3,6,2,1
