"","theta","se.theta","total_score","ctt_sem","infitMNSQ","infitMNSQ.z","outfitMNSQ","outfitMNSQ.z"
"P32",-0.441831254545337,0.432510971832605,10,2.12199359367338,0.923342824974759,-0.459573496825802,0.910264769396405,-0.459724691864887
"P33",-0.25739715081477,0.426830263232319,11,2.12199359367338,1.20687451178287,1.42814421276135,1.26208893396872,1.56741474766314
"P34",1.53097712891131,0.516101348064273,20,2.12199359367338,1.08277758160671,0.376138024158485,1.35096139549182,0.895967554156992
"P35",-0.25739715081477,0.426830263232319,11,2.12199359367338,1.2027695183031,1.40233709273451,1.24041981946459,1.45067129021916
"P36",-0.0766698934553978,0.42377517938875,12,2.12199359367338,1.03880327401103,0.335537875106855,1.02138009965306,0.190660940812111
"P37",-0.832106146436403,0.453256077428121,8,2.12199359367338,0.769613928537018,-1.22986332491897,0.686850844197364,-1.38602475133414
"P38",-0.832106146436403,0.453256077428121,8,2.12199359367338,0.905304799073057,-0.440538817939373,0.880203158850702,-0.438549684213807
"P39",0.46473663756341,0.429696675037332,15,2.12199359367338,1.1135993933547,0.847612975402515,1.08867312076725,0.520267371627729
"P40",0.848164480628992,0.448384577827096,17,2.12199359367338,1.08927067665977,0.560414471145633,1.05827069400027,0.309517121508857
"P41",-0.632392760860914,0.441132895038838,9,2.12199359367338,1.04967931370543,0.341887359420422,1.04798902920106,0.298364892519359
"P42",2.1693158640489,0.62829604430616,22,2.12199359367338,1.06543076827382,0.292286790737297,1.64789318781186,1.08026621733717
"P43",0.46473663756341,0.429696675037332,15,2.12199359367338,0.980397323455269,-0.0989442973370877,0.94554228403503,-0.231726818765155
"P44",1.53097712891131,0.516101348064273,20,2.12199359367338,0.846472491676541,-0.468035183096664,0.675096319646327,-0.741106928172014
"P45",-0.25739715081477,0.426830263232319,11,2.12199359367338,0.792437808646752,-1.54659801564547,0.765456801384652,-1.54645835610018
"P46",2.63509199577087,0.747898039266055,23,2.12199359367338,1.03449698270997,0.256090346449902,2.11731130871491,1.31992442230572
"P47",0.46473663756341,0.429696675037332,15,2.12199359367338,0.992486686596721,-0.00962073398673006,0.948139692568445,-0.217426380859596
"P48",0.102475217572884,0.423202498150708,13,2.12199359367338,1.13437703106598,1.05520497247837,1.1551844745694,1.0118750650886
"P49",0.46473663756341,0.429696675037332,15,2.12199359367338,1.13002132759702,0.958979915712604,1.15723343093894,0.857218498260151
"P50",-0.632392760860914,0.441132895038838,9,2.12199359367338,1.05075497603413,0.347950260390419,1.05576320585316,0.334936875787362
"P51",0.102475217572884,0.423202498150708,13,2.12199359367338,0.853912531563602,-1.16763726045225,0.819435976009048,-1.2010836149961
"P52",1.28089097711618,0.485707574426576,19,2.12199359367338,1.12902513737713,0.598315700182012,1.13189892743545,0.476604455563007
"P53",0.102475217572884,0.423202498150708,13,2.12199359367338,1.03946110254362,0.348759642460851,1.02553033122619,0.215835640239066
"P54",0.46473663756341,0.429696675037332,15,2.12199359367338,0.864818407517646,-0.99250456087025,0.805279111440878,-1.04639396650092
"P55",2.63509199577087,0.747898039266055,23,2.12199359367338,0.948159799869394,0.110536063744508,0.620482400251034,-0.272376572754922
"P56",2.1693158640489,0.62829604430616,22,2.12199359367338,0.861873626557186,-0.176260096967765,0.614714440302889,-0.513653398459096
"P57",1.28089097711618,0.485707574426576,19,2.12199359367338,0.898941343338965,-0.358840710379523,0.764396166773168,-0.612480333975379
"P58",0.848164480628992,0.448384577827096,17,2.12199359367338,0.998714334694922,0.0500317481916351,0.957759172454854,-0.0835918914003797
"P59",-0.441831254545337,0.432510971832605,10,2.12199359367338,0.85023931056666,-0.973875862122404,0.801485731943694,-1.13704832487419
"P60",0.102475217572884,0.423202498150708,13,2.12199359367338,0.946424738638271,-0.386765233262947,0.907683389389589,-0.568244472933004
"P61",0.282224473689825,0.425123076379847,14,2.12199359367338,0.828349995255272,-1.37531876359353,0.776514648261727,-1.4004096804374
"P62",2.1693158640489,0.62829604430616,22,2.12199359367338,1.09950581928847,0.36472350987246,1.3513449690676,0.716162979936795
"P63",-0.441831254545337,0.432510971832605,10,2.12199359367338,1.2723579963665,1.67950125959426,1.33607903449912,1.76556883462541
"P64",0.652374299350856,0.43725742937127,16,2.12199359367338,1.16009365259836,1.05797498805766,1.22858136910989,1.05084865320887
"P65",0.46473663756341,0.429696675037332,15,2.12199359367338,1.07057165805158,0.550526711563337,1.08726341870017,0.513192636694195
"P66",2.1693158640489,0.62829604430616,22,2.12199359367338,0.96711283352365,0.0742179370817236,0.71244542967084,-0.307178271318659
"P67",3.38648676025469,1.02840897339421,24,2.12199359367338,1.09038326652124,0.40198054909308,3.49547915994383,1.68123410167654
"P68",0.102475217572884,0.423202498150708,13,2.12199359367338,0.804095570103846,-1.61171900387864,0.773330069774376,-1.54994431679983
"P69",0.46473663756341,0.429696675037332,15,2.12199359367338,1.05472204510793,0.43908756031812,1.07345249196998,0.443555440001615
"P70",-0.441831254545337,0.432510971832605,10,2.12199359367338,1.06982226904036,0.494453965391059,1.04582022415092,0.312596891125097
